"EDID","Candidate","Party EN","Party FR","Candidate Residence","Candidate Occupation","Votes Obtained","Percentage of Votes Obtained","Majority","Majority Percentage"
47004,"Scott Wilson","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Caron, Sask.","Video Producer",4394,15.78,,
47004,"Duane Filson","Liberal","Libéral","Woodrow, Sask.","Farmer",3691,13.25,,
47004,"Bill Clary","Green Party","Parti Vert","Leader, Sask.","Care Giver",1840,6.61,,
47003,"Rob Clarke","Conservative","Conservateur","Warman, Sask.","Parliamentarian",8964,46.67,3148,16.4
47003,"David Orchard","Liberal","Libéral","Borden, Sask.","Farmer",5816,30.28,,
47003,"Brian Morin","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Buffalo Narrows, Sask.","Carpenter",3414,17.77,,
47003,"George Morin","Green Party","Parti Vert","Muskoday, Sask.","Self-Employed",733,3.82,,
47003,"Rob Ballantyne","FPNP","FPNP","Air Ronge, Sask.","Cultural Freelance Contractor",282,1.47,,
47005,"Ray Boughen","Conservative","Conservateur","Moose Jaw, Sask.","Education Consultant",14159,44.12,3294,10.3
47005,"Don Mitchell","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Moose Jaw, Sask.","Teacher,Community Development Worker",10865,33.85,,
47005,"Cal Johnston","Liberal","Libéral","Regina, Sask.","Former Chief of Police",5489,17.1,,
47005,"Larissa Shasko","Green Party","Parti Vert","Moose Jaw, Sask.","Student",1580,4.92,,
47006,"Randy Hoback","Conservative","Conservateur","Prince Albert, Sask.","Farmer",16542,57.73,8299,29
47006,"Valerie Mushinski","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Nipawin, Sask.","CEO,Administrator",8243,28.77,,
47006,"Lou Doderai","Liberal","Libéral","Prince Albert, Sask.","Realtor",2289,7.99,,
47006,"Amanda Judith Marie Smytaniuk","Green Party","Parti Vert","Prince Albert, Sask.","Account Manager,Student",1413,4.93,,
47006,"Craig Batley","CAP","PAC","Prince Albert, Sask.","Security Guard",167,0.58,,
47007,"Tom Lukiwski","Conservative","Conservateur","Regina Beach, Sask.","Parliamentarian",16053,51.09,7090,22.6
47007,"Fred Kress","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Regina, Sask.","Constituency Assistant",8963,28.53,,
47007,"Monica Lysack","Liberal","Libéral","Regina, Sask.","Early Childhood Educator",4668,14.86,,
47007,"Nicolas Stulberg","Green Party","Parti Vert","Regina, Sask.","Student",1737,5.53,,
47008,"Andrew Scheer","Conservative","Conservateur","Regina, Sask.","Insurance Broker",14068,51.85,5369,19.8
47008,"Janice Bernier","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Regina, Sask.","Self-employed",8699,32.06,,
47008,"Rod Flaman","Liberal","Libéral","Edenwold, Sask.","Farmer",2809,10.35,,
47008,"Greg Chatterson","Green Party","Parti Vert","Fort Qu'Appelle, Sask.","Bricklayer",1556,5.73,,
47009,"Brad Trost","Conservative","Conservateur","Saskatoon, Sask.","Geophysicist",18610,53.8,8978,26
47009,"Scott Ruston","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Colonsay, Sask.","Miner",9632,27.85,,
47009,"Karen Parhar","Liberal","Libéral","Saskatoon, Sask.","Sessional Lecturer",4135,11.96,,
47009,"Jean-Pierre Ducasse","Green Party","Parti Vert","Saskatoon, Sask.","Teacher",2211,6.39,,
47010,"Kelly Block","Conservative","Conservateur","Saskatoon, Sask.","Administrator",12231,45.39,262,1
47010,"Nettie Wiebe","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Delisle, Sask.","Farmer",11969,44.42,,
47010,"Amber Jones","Green Party","Parti Vert","Saskatoon, Sask.","Environmental Consultant",1232,4.57,,
47010,"Roy Bluehorn","Liberal","Libéral","Saskatoon, Sask.","Case Review Officer",1188,4.41,,
47010,"Rick Barsky","Independent","Indépendant","Saskatoon, Sask.","Educational Assistant",138,0.51,,
47010,"Marcel Leon Bourassa","Christian Heritage Party","Parti de l'Héritage Chrétien","Saskatoon, Sask.","Minister",115,0.43,,
47010,"Kevin Stricker","Libertarian","Libertarien","Saskatoon, Sask.","Software Developer",73,0.27,,
47011,"Maurice Vellacott","Conservative","Conservateur","Saskatoon, Sask.","Parliamentarian",18320,56.51,10422,32.1
47011,"Clint Davidson","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Saskatoon, Sask.","Corrections Worker",7898,24.36,,
47011,"Patricia Zipchen","Liberal","Libéral","Saskatoon, Sask.","Nurse,Health Educator",4020,12.4,,
47011,"Tobi-Dawne Smith","Green Party","Parti Vert","Saskatoon, Sask.","Dog Trainer",2182,6.73,,
47012,"Ed Komarnicki","Conservative","Conservateur","Estevan, Sask.","Parliamentarian",19293,70.49,14694,53.7
47012,"Raquel Fletcher","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","White City, Sask.","Student",4599,16.8,,
47012,"Marlin Belt","Liberal","Libéral","Regina, Sask.","Project Manager",1834,6.7,,
47012,"Bob Deptuck","Green Party","Parti Vert","Rocanville, Sask.","Environmental Tech",1643,6,,
47013,"Ralph Goodale","Liberal","Libéral","Regina, Sask.","Business Person",17028,46.08,4230,11.4
47013,"Michelle Hunter","Conservative","Conservateur","Regina, Sask.","Director of Corporate Relations",12798,34.64,,
47013,"Stephen Moore","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Regina, Sask.","Teacher",5418,14.66,,
47013,"George-Richard Wooldridge","Green Party","Parti Vert","Edenwold, Sask.","Manager",1706,4.62,,
47014,"Garry Breitkreuz","Conservative","Conservateur","Springside, Sask.","Teacher-Farmer",19824,68.03,13748,47.2
47014,"Doug Ottenbreit","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Melville, Sask.","Lawyer",6076,20.85,,
47014,"Jen Antony","Green Party","Parti Vert","MacNutt, Sask.","Journalist",1664,5.71,,
47014,"Bryan H. Bell","Liberal","Libéral","Regina, Sask.","Manager",1578,5.41,,
48006,"Lee Richardson","Conservative","Conservateur","Calgary, Alta./Alb.","Businessman",26085,55.6,17683,37.7
48006,"Heesung Kim","Liberal","Libéral","Calgary, Alta./Alb.","Architect",8402,17.91,,
48006,"Natalie Odd","Green Party","Parti Vert","Calgary, Alta./Alb.","Executive Director, Non-Profit Organization",7778,16.58,,
48006,"Tyler Kinch","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Calgary, Alta./Alb.","Freelance Graphic Designer",4229,9.01,,
48006,"Antony Tony Grochowski","Independent","Indépendant","Calgary, Alta./Alb.","Architecte",420,0.9,,
48003,"Jim Prentice","Conservative","Conservateur","Calgary, Alta./Alb.","Parliamentarian",27361,56.54,19948,41.2
48003,"John Chan","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Calgary, Alta./Alb.","Environmental Protection Officer",7413,15.32,,
48003,"Eric Donovan","Green Party","Parti Vert","Calgary, Alta./Alb.","Professor",7392,15.27,,
48003,"Doug James","Liberal","Libéral","Calgary, Alta./Alb.","professional engineer",5699,11.78,,
48003,"Jason E. McNeil","Libertarian","Libertarien","Calgary, Alta./Alb.","Software Developer",345,0.71,,
48003,"Peggy Askin","Marxist-Leninist","Marxiste-Léniniste","Calgary, Alta./Alb.","Retired Communications Worker",184,0.38,,
48002,"Deepak Obhrai","Conservative","Conservateur","Calgary, Alta./Alb.","Parliamentarian",21311,66.47,17543,54.7
48002,"Ian Vaughan","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Calgary, Alta./Alb.","Youth Worker",3768,11.75,,
48002,"Nathan David Coates","Green Party","Parti Vert","Calgary, Alta./Alb.","Mechanic",3403,10.61,,
48002,"Bernie Kennedy","Liberal","Libéral","Granum, Alta./Alb.","Businessman",3255,10.15,,
48002,"Jason Devine","Communist","Communiste","Calgary, Alta./Alb.","Student",323,1.01,,
48004,"Devinder Shory","Conservative","Conservateur","Calgary, Alta./Alb.","Lawyer",18917,51.52,11484,31.3
48004,"Sanam S. Kang","Liberal","Libéral","Calgary, Alta./Alb.","Self-employed",7433,20.24,,
48004,"Roger Richard","No Affiliation","Aucune appartenance","Calgary, Alta./Alb.","Business Owner",4836,13.17,,
48004,"Vinay Dey","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Calgary, Alta./Alb.","Retired",3279,8.93,,
48004,"Abeed Monty Ahmad","Green Party","Parti Vert","Calgary, Alta./Alb.","Teacher",2045,5.57,,
48004,"Daniel Blanchard","Marxist-Leninist","Marxiste-Léniniste","Calgary, Alta./Alb.","Student",211,0.57,,
48005,"Diane Ablonczy","Conservative","Conservateur","Calgary, Alta./Alb.","Parliamentarian",35029,69.62,28372,56.4
48005,"Anoush Newman","Liberal","Libéral","Calgary, Alta./Alb.","Executive Director",6657,13.23,,
48005,"Tony Hajj","Green Party","Parti Vert","Calgary, Alta./Alb.","Engineer",4685,9.31,,
48005,"Stephanie Sundberg","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Calgary, Alta./Alb.","Student",3941,7.83,,
48007,"Jason Kenney","Conservative","Conservateur","Calgary, Alta./Alb.","Parliamentarian",41425,73.89,35689,63.7
48007,"Margaret Chandler","Green Party","Parti Vert","Calgary, Alta./Alb.","Environmental Communications Consultant",5736,10.23,,
48007,"Brad Carroll","Liberal","Libéral","Calgary, Alta./Alb.","Education Analyst",4878,8.7,,
48007,"Chris Willott","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Calgary, Alta./Alb.","Quality Assurance Analyst",4024,7.18,,
48008,"Stephen Harper","Conservative","Conservateur","Calgary, Alta./Alb.","Parliamentarian",38548,72.96,33630,63.7
48008,"Marlene Lamontagne","Liberal","Libéral","Calgary, Alta./Alb.","Retired Business Person",4918,9.31,,
48008,"Kelly Christie","Green Party","Parti Vert","Calgary, Alta./Alb.","Construction Supervisor",4743,8.98,,
48008,"Holly Heffernan","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Calgary, Alta./Alb.","Nurse",4102,7.76,,
48008,"Dennis Young","Libertarian","Libertarien","Calgary, Alta./Alb.","Legal Agent",265,0.5,,
48008,"Larry R. Heather","Christian Heritage Party","Parti de l'Héritage Chrétien","Calgary, Alta./Alb.","Audio Restoration and Producer",256,0.48,,
48009,"Rob Anders","Conservative","Conservateur","Calgary, Alta./Alb.","Parliamentarian",34579,57.36,21375,35.5
48009,"Jennifer Pollock","Liberal","Libéral","Calgary, Alta./Alb.","Lawyer",13204,21.9,,
48009,"Randy Weeks","Green Party","Parti Vert","Calgary, Alta./Alb.","Auditor",6722,11.15,,
48009,"Teale Phelps Bondaroff","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Calgary, Alta./Alb.","Student",3832,6.36,,
48009,"Kirk Schmidt","Independent","Indépendant","Calgary, Alta./Alb.","IT Analyst",1790,2.97,,
48009,"André Vachon","Marxist-Leninist","Marxiste-Léniniste","Calgary, Alta./Alb.","Pipeline Worker",155,0.26,,
48010,"Kevin Sorenson","Conservative","Conservateur","Killam, Alta./Alb.","Parliamentarian",39342,82.03,35559,74.1
48010,"Ellen Parker","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Camrose, Alta./Alb.","Educator",3783,7.89,,
48010,"Kaitlin Kettenbach","Green Party","Parti Vert","Rockyford, Alta./Alb.","Contractor",2875,5.99,,
48010,"Sharon L. Howe","Liberal","Libéral","Calgary, Alta./Alb.","Semi-retired",1958,4.08,,
48012,"Laurie Hawn","Conservative","Conservateur","Edmonton, Alta./Alb.","Parliamentarian",22634,49.04,9973,21.6
48012,"Jim Wachowich","Liberal","Libéral","Edmonton, Alta./Alb.","Lawyer",12661,27.43,,
48012,"Donna Martyn","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Edmonton, Alta./Alb.","Teacher",6912,14.98,,
48012,"David James Parker","Green Party","Parti Vert","Edmonton, Alta./Alb.","Professional Engineer",3746,8.12,,
48012,"Peggy Morton","Marxist-Leninist","Marxiste-Léniniste","Edmonton, Alta./Alb.","Journalist",203,0.44,,
48013,"Peter Goldring","Conservative","Conservateur","Edmonton, Alta./Alb.","Parliamentarian",21487,51.32,8169,19.5
48013,"Ray Martin","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Edmonton, Alta./Alb.","Retired",13318,31.81,,
48013,"Stephanie Laskoski","Liberal","Libéral","Edmonton, Alta./Alb.","Student",4578,10.93,,
48013,"Trey Capnerhurst","Green Party","Parti Vert","Edmonton, Alta./Alb.","Homemaker,Artist",2488,5.94,,
48014,"James Rajotte","Conservative","Conservateur","Edmonton, Alta./Alb.","Parliamentarian",33174,63.21,23940,45.6
48014,"Donna Lynn Smith","Liberal","Libéral","Edmonton, Alta./Alb.","University Professor",9234,17.59,,
48014,"Hana Razga","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Edmonton, Alta./Alb.","Human Resources Consultant",5994,11.42,,
48014,"Valerie Kennedy","Green Party","Parti Vert","Edmonton, Alta./Alb.","Movement Education",4081,7.78,,
48011,"Mike Lake","Conservative","Conservateur","Edmonton, Alta./Alb.","Parliamentarian",25130,60.32,17421,41.8
48011,"Indira Saroya","Liberal","Libéral","Edmonton, Alta./Alb.","day care operator",7709,18.51,,
48011,"Mike Butler","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Edmonton, Alta./Alb.","Construction",6297,15.12,,
48011,"David Allan Hrushka","Green Party","Parti Vert","Edmonton, Alta./Alb.","Self employed, Student",2366,5.68,,
48011,"Naomi Rankin","Communist","Communiste","Edmonton, Alta./Alb.","Computer programmer",157,0.38,,
48015,"Brent Rathgeber","Conservative","Conservateur","Edmonton, Alta./Alb.","Lawyer",31436,61.65,23391,45.9
48015,"Dave Burkhart","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","St. Albert, Alta./Alb.","Technical Writer",8045,15.78,,
48015,"Sam Sleiman","Liberal","Libéral","Edmonton, Alta./Alb.","Executive Director International Markets",7441,14.59,,
48015,"Peter Johnston","Green Party","Parti Vert","Edmonton, Alta./Alb.","Flooring Installer",4072,7.99,,
48016,"Tim Uppal","Conservative","Conservateur","Sherwood Park, Alta./Alb.","Business Manager",17628,35.84,1668,3.4
48016,"James Ford","Independent","Indépendant","Sherwood Park, Alta./Alb.","Business Consultant",15960,32.45,,
48016,"Brian LaBelle","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Edmonton, Alta./Alb.","Child and Youth Care Worker",6339,12.89,,
48016,"Rick Szostak","Liberal","Libéral","Edmonton, Alta./Alb.","Professor",5575,11.34,,
48016,"Nina Erfani","Green Party","Parti Vert","Edmonton, Alta./Alb.","University Instructor",3678,7.48,,
48017,"Rona Ambrose","Conservative","Conservateur","Edmonton, Alta./Alb.","Parliamentarian",36402,68.55,29775,56.1
48017,"Barb Phillips","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Spruce Grove, Alta./Alb.","Support Worker",6627,12.48,,
48017,"Chris Austin","Liberal","Libéral","Spruce Grove, Alta./Alb.","Information Technologist",6099,11.49,,
48017,"Wendy Walker","Green Party","Parti Vert","Edmonton, Alta./Alb.","Business Owner",3975,7.49,,
48018,"Linda Duncan","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Edmonton, Alta./Alb.","Lawyer",20103,42.58,463,1
48018,"Rahim Jaffer","Conservative","Conservateur","Edmonton, Alta./Alb.","Parliamentarian",19640,41.6,,
48018,"Claudette Roy","Liberal","Libéral","Edmonton, Alta./Alb.","Educator",4279,9.06,,
48018,"Jane Thrall","Green Party","Parti Vert","Edmonton, Alta./Alb.","Optometrist",3040,6.44,,
48018,"Kevan Hunter","Marxist-Leninist","Marxiste-Léniniste","Edmonton, Alta./Alb.","Teacher",147,0.31,,
48001,"Brian Jean","Conservative","Conservateur","Fort McMurray, Alta./Alb.","Parliamentarian",17160,67.12,13860,54.2
48001,"Mark Voyageur","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Fort McMurray, Alta./Alb.","Heavy Equipment Operator",3300,12.91,,
48001,"John Webb","Liberal","Libéral","Calgary, Alta./Alb.","Barrister,Solicitor",2710,10.6,,
48001,"Dylan Richards","Green Party","Parti Vert","Athabasca, Alta./Alb.","Pastor",1628,6.37,,
48001,"Shawn Reimer","Independent","Indépendant","Fort McMurray, Alta./Alb.","Student",350,1.37,,
48001,"John Malcolm","FPNP","FPNP","Anzac, Alta./Alb.","Consultant Aboriginal Rights Environmental",233,0.91,,
48001,"Jacob Strydhorst","Christian Heritage Party","Parti de l'Héritage Chrétien","Neerlandia, Alta./Alb.","Farmer",186,0.73,,
48019,"Rick Casson","Conservative","Conservateur","Picture Butte, Alta./Alb.","Parliamentarian",31714,66.96,24981,52.7
48019,"Mark Sandilands","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Lethbridge, Alta./Alb.","Retired Professor",6733,14.22,,
48019,"Michael Joseph Cormican","Liberal","Libéral","Lethbridge, Alta./Alb.","Retired Psychiatric Nurse",4404,9.3,,
48019,"Amanda Swagar","Green Party","Parti Vert","Lethbridge, Alta./Alb.","Student",3420,7.22,,
48019,"Geoffrey Capp","Christian Heritage Party","Parti de l'Héritage Chrétien","Lethbridge, Alta./Alb.","Security Guard",1094,2.31,,
48020,"Ted Menzies","Conservative","Conservateur","Claresholm, Alta./Alb.","Farmer",35328,77.36,31167,68.2
48020,"Jared McCollum","Green Party","Parti Vert","Okotoks, Alta./Alb.","Doctor of Traditional Chinese Medicine",4161,9.11,,
48020,"Stan Knowlton","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Brocket, Alta./Alb.","Administrator",3053,6.69,,
48020,"Isabel Paynter","Liberal","Libéral","High River, Alta./Alb.","Retired Nurse",2703,5.92,,
48020,"Marc Slingerland","Christian Heritage Party","Parti de l'Héritage Chrétien","Lethbridge, Alta./Alb.","Teacher",422,0.92,,
48021,"LaVar Payne","Conservative","Conservateur","Medicine Hat, Alta./Alb.","Assistant Sprecial House of Commons",26950,70.87,22763,59.9
48021,"Wally Regehr","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Medicine Hat, Alta./Alb.","Retired Teacher",4187,11.01,,
48021,"Bev Botter","Liberal","Libéral","Medicine Hat, Alta./Alb.","Retired Registered Nurse",2639,6.94,,
48021,"Kevin Dodd","Green Party","Parti Vert","Suffield, Alta./Alb.","Union worker",2338,6.15,,
48021,"Dean Shock","Independent","Indépendant","Medicine Hat, Alta./Alb.","Owner, Computer Programmer",971,2.55,,
48021,"David S. Patrick","Independent","Indépendant","Bow Island, Alta./Alb.","Contractor",580,1.53,,
48021,"Frans Vandestroet","Christian Heritage Party","Parti de l'Héritage Chrétien","Enchant, Alta./Alb.","Farm realtor",363,0.95,,
48022,"Chris Warkentin","Conservative","Conservateur","Grande Prairie, Alta./Alb.","Parliamentarian",29550,69.51,23426,55.1
48022,"Adele Boucher Rymhs","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Peace River, Alta./Alb.","Retired",6124,14.41,,
48022,"Jennifer Villebrun","Green Party","Parti Vert","Grande Prairie, Alta./Alb.","Lawyer",3303,7.77,,
48022,"Liliane Maisonneuve","Liberal","Libéral","St. Isidore, Alta./Alb.","Teacher,Farmer",2843,6.69,,
48022,"Edwin Siggelkow","CAP","PAC","Grande Prairie, Alta./Alb.","Businessman",373,0.88,,
48022,"Mélanie Simard","Libertarian","Libertarien","Girouxville, Alta./Alb.","Teacher",316,0.74,,
48023,"Earl Dreeshen","Conservative","Conservateur","Innisfail, Alta./Alb.","Farmer",33226,73.24,28186,62.1
48023,"Stuart Somerville","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Endiang, Alta./Alb.","Teacher,Farmer",5040,11.11,,
48023,"Evan Bedford","Green Party","Parti Vert","Red Deer, Alta./Alb.","Engineering Technologist",4239,9.34,,
48023,"Garfield Marks","Liberal","Libéral","Red Deer, Alta./Alb.","Oilfield Supervisor",2863,6.31,,
48024,"Leon Benoit","Conservative","Conservateur","Vermilion, Alta./Alb.","Farmer",34493,77.09,30263,67.6
48024,"Ray Stone","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Innisfree, Alta./Alb.","Farmer",4230,9.45,,
48024,"William Munsey","Green Party","Parti Vert","New Sarepta, Alta./Alb.","CN Train Conductor, Farmer",3676,8.22,,
48024,"Adam Campbell","Liberal","Libéral","Rosalind, Alta./Alb.","Farmer",2345,5.24,,
48025,"Brian Storseth","Conservative","Conservateur","St. Paul, Alta./Alb.","Parliamentarian",27338,72.71,23529,62.6
48025,"Della Drury","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Edmonton, Alta./Alb.","Forest Technology",3809,10.13,,
48025,"Leila Houle","Liberal","Libéral","Goodfish Lake, Alta./Alb.","Business owner",3418,9.09,,
48025,"Aden Murphy","Green Party","Parti Vert","Edmonton, Alta./Alb.","Student",2522,6.71,,
48025,"Sip Hofstede","Christian Heritage Party","Parti de l'Héritage Chrétien","Westlock, Alta./Alb.","Self-employed, Draftsman",510,1.36,,
48026,"Blaine Calkins","Conservative","Conservateur","Lacombe, Alta./Alb.","College Instructor",32528,77.14,28892,68.5
48026,"Tim Robson","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Wetaskiwin, Alta./Alb.","Life Insurance Sales",3636,8.62,,
48026,"Les Parsons","Green Party","Parti Vert","Lacombe, Alta./Alb.","Coach - Cross Country Skiing",3395,8.05,,
48026,"Rita Katherine Dillon","Liberal","Libéral","Winfield, Alta./Alb.","Social Worker in private clinical practice",2362,5.6,,
48026,"Shawn Mann","CAP","PAC","Rimbey, Alta./Alb.","Operations Manager",249,0.59,,
48027,"Blake Richards","Conservative","Conservateur","Airdrie, Alta./Alb.","Realtor",36869,72.92,30479,60.3
48027,"Lisa Fox","Green Party","Parti Vert","Cochrane, Alta./Alb.","Environmental Consultant",6390,12.64,,
48027,"Jeff Horvath","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Canmore, Alta./Alb.","Teacher",4169,8.24,,
48027,"Jenn Turcott","Liberal","Libéral","Olds, Alta./Alb.","Community Assistant",2890,5.72,,
48027,"Krista Zoobkoff","Libertarian","Libertarien","Canmore, Alta./Alb.","Business Owner",246,0.49,,
48028,"Rob Merrifield","Conservative","Conservateur","Whitecourt, Alta./Alb.","Self-employed",26863,71.85,22276,59.6
48028,"Ken Kuzminski","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Jasper, Alta./Alb.","Carpenter",4587,12.27,,
48028,"Monika Schaefer","Green Party","Parti Vert","Jasper, Alta./Alb.","ViolinTeacher",3437,9.19,,
48028,"Mohamed El-Rafih","Liberal","Libéral","Calgary, Alta./Alb.","Tutor",1489,3.98,,
48028,"John M. Wierenga","Christian Heritage Party","Parti de l'Héritage Chrétien","Neerlandia, Alta./Alb.","Welder",606,1.62,,
48028,"Melissa Brade","CAP","PAC","Gunn, Alta./Alb.","Homemaker",408,1.09,,
59001,"Ed Fast","Conservative","Conservateur","Abbotsford, B.C./C.-B.","Parliamentarian",30853,63.32,22920,47
59001,"Lionel Dominique Traverse","Liberal","Libéral","Abbotsford, B.C./C.-B.","Physician",7933,16.28,,
59001,"Bonnie Rai","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Abbotsford, B.C./C.-B.","ESL Tutorer",6444,13.22,,
59001,"Karen Durant","Green Party","Parti Vert","Abbotsford, B.C./C.-B.","Business Woman",3141,6.45,,
59001,"Tim Felger","Radical Marijuana","Radical Marijuana","Abbotsford, B.C./C.-B.","Businessman",358,0.73,,
59026,"Alex Atamanenko","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Castlegar, B.C./C.-B.","Teacher",22693,47.51,5571,11.7
59026,"Rob Zandee","Conservative","Conservateur","Oliver, B.C./C.-B.","Manager",17122,35.85,,
59026,"Andy Morel","Green Party","Parti Vert","Rossland, B.C./C.-B.","Contractor, Ski Instructor",4573,9.57,,
59026,"Brenda Jagpal","Liberal","Libéral","Montrose, B.C./C.-B.","Executive Director",3292,6.89,,
59026,"Brian Sproule","Marxist-Leninist","Marxiste-Léniniste","Port Moody, B.C./C.-B.","Health Care Worker",80,0.17,,
59002,"Bill Siksay","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Burnaby, B.C./C.-B.","Parliamentarian",17937,37.94,798,1.7
59002,"Ronald Leung","Conservative","Conservateur","Burnaby, B.C./C.-B.","Political Aide",17139,36.25,,
59002,"Bill Cunningham","Liberal","Libéral","Burnaby, B.C./C.-B.","Consultant",9177,19.41,,
59002,"Doug Perry","Green Party","Parti Vert","Burnaby, B.C./C.-B.","Self-employed",2822,5.97,,
59002,"George Gidora","Communist","Communiste","Coquitlam, B.C./C.-B.","Bus Driver",203,0.43,,
59003,"Peter Julian","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","New Westminster, B.C./C.-B.","Parliamentarian",20145,46.5,6995,16.1
59003,"Sam Rakhra","Conservative","Conservateur","Burnaby, B.C./C.-B.","Director",13150,30.35,,
59003,"Gerry Lenoski","Liberal","Libéral","New Westminster, B.C./C.-B.","Business Person",6681,15.42,,
59003,"Carrie McLaren","Green Party","Parti Vert","Burnaby, B.C./C.-B.","Accounts Receivable Clerk",3067,7.08,,
59003,"Ismet Yetisen","Libertarian","Libertarien","Vancouver, B.C./C.-B.","Restaurant Manager",186,0.43,,
59003,"Joseph Theriault","Marxist-Leninist","Marxiste-Léniniste","New Westminster, B.C./C.-B.","Residential care aid",96,0.22,,
59004,"Dick Harris","Conservative","Conservateur","Prince George, B.C./C.-B.","Parliamentarian",22637,55.39,12056,29.5
59004,"Bev Collins","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Prince George, B.C./C.-B.","Employment Coach, Facilitator",10581,25.89,,
59004,"Drew Adamick","Liberal","Libéral","Prince George, B.C./C.-B.","Student",4309,10.54,,
59004,"Amber Van Drielen","Green Party","Parti Vert","Vancouver, B.C./C.-B.","Lawyer",2614,6.4,,
59004,"Douglas Gook","Independent","Indépendant","Quesnel, B.C./C.-B.","Organic Farmer",729,1.78,,
59005,"Chuck Strahl","Conservative","Conservateur","Chilliwack, B.C./C.-B.","Parliamentarian",29198,62.32,20407,43.6
59005,"Helen Kormendy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Ashcroft, B.C./C.-B.","Social Worker",8791,18.76,,
59005,"Barbara Lebeau","Green Party","Parti Vert","Hope, B.C./C.-B.","Court Transcriptionist",4107,8.77,,
59005,"Myra Sweeney","Liberal","Libéral","Abbotsford, B.C./C.-B.","Institutional Parole Officer",3990,8.52,,
59005,"Harold J. Ludwig","Christian Heritage Party","Parti de l'Héritage Chrétien","Abbotsford, B.C./C.-B.","Retired Businessman",653,1.39,,
59005,"Dorothy-Jean O'Donnell","Marxist-Leninist","Marxiste-Léniniste","Hope, B.C./C.-B.","Lawyer",113,0.24,,
59006,"John Cummins","Conservative","Conservateur","Delta, B.C./C.-B.","Teacher, Fisherman",26252,55.75,15881,33.7
59006,"Dana L. Miller","Liberal","Libéral","Delta, B.C./C.-B.","Entrepreneur, Health Care Worker",10371,22.02,,
59006,"Szilvia Barna","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Delta, B.C./C.-B.","V.P. Marketing",6803,14.45,,
59006,"Matthew Laine","Green Party","Parti Vert","Delta, B.C./C.-B.","Assistant Shipping Manager",3663,7.78,,
59008,"Keith Martin","Liberal","Libéral","Victoria, B.C./C.-B.","Medical Doctor",20042,34.18,68,0.1
59008,"Troy DeSouza","Conservative","Conservateur","Victoria, B.C./C.-B.","Municipal Prosecutor",19974,34.07,,
59008,"Jennifer Burgis","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Victoria, B.C./C.-B.","Semi-Retired",13322,22.72,,
59008,"Brian G. Gordon","Green Party","Parti Vert","Victoria, B.C./C.-B.","Consultant, Project Mgr",4854,8.28,,
59008,"Philip G. Ney","Independent","Indépendant","Sooke, B.C./C.-B.","Physician",309,0.53,,
