"EDID","Candidate","Party EN","Party FR","Candidate Residence","Candidate Occupation","Votes Obtained","Percentage of Votes Obtained","Majority","Majority Percentage"
35087,"DWight Dugas","CAP","PAC","Cornwall, Ont.","Labourer",105,0.23,,
35088,"Glenn Thibeault","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Garson, Ont.","Executive Director",15094,35.15,2125,4.9
35088,"Diane Marleau","Liberal","Libéral","Sudbury, Ont.","Parliamentarian",12969,30.2,,
35088,"Gerry Labelle","Conservative","Conservateur","Azilda, Ont.","Trainer + Consultant",11073,25.79,,
35088,"Gordon Harris","Green Party","Parti Vert","Sudbury, Ont.","Business Owner",3330,7.75,,
35088,"Will Morin","FPNP","FPNP","Sudbury, Ont.","Student",397,0.92,,
35088,"J. David Popescu","Independent","Indépendant","Sudbury, Ont.","Landlord",80,0.19,,
35089,"Peter Kent","Conservative","Conservateur","Thornhill, Ont.","Broadcast Executive",26660,49.01,5212,9.6
35089,"Susan Kadis","Liberal","Libéral","Thornhill, Ont.","Parliamentarian",21448,39.43,,
35089,"Simon Strelchik","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Thornhill, Ont.","Student",3601,6.62,,
35089,"Norbert Koehl","Green Party","Parti Vert","Thornhill, Ont.","General Manager",2686,4.94,,
35090,"John Rafferty","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Fort Frances, Ont.","Self-Employed",14478,40.32,2889,8
35090,"Ken Boshcoff","Liberal","Libéral","Thunder Bay, Ont.","Parliamentarian",11589,32.27,,
35090,"Richard Neumann","Conservative","Conservateur","Neebing, Ont.","Insurance Adjuster",8466,23.58,,
35090,"Russ Aegard","Green Party","Parti Vert","South Gillies, Ont.","Elementary School Teacher",1377,3.83,,
35091,"Bruce Hyer","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Thunder Bay, Ont.","Biologist",13187,37.03,3104,8.7
35091,"Don McArthur","Liberal","Libéral","Terrace Bay, Ont.","Manager",10083,28.31,,
35091,"Bev Sarafin","Conservative","Conservateur","Geraldton, Ont.","Political Organizer",9556,26.83,,
35091,"Brendan Daniel Hughes","Green Party","Parti Vert","Thunder Bay, Ont.","Administration +Education",2463,6.92,,
35091,"Denis Andrew Carrière","Radical Marijuana","Radical Marijuana","Schreiber, Ont.","Brow Stock Washer Operator",327,0.92,,
35092,"Charlie Angus","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Cobalt, Ont.","Parliamentarian",17188,56.54,10448,34.4
35092,"Paul Taillefer","Liberal","Libéral","Timmins, Ont.","Teacher",6740,22.17,,
35092,"Bill Greenberg","Conservative","Conservateur","Timmins, Ont.","Advisor",5536,18.21,,
35092,"Larry Verner","Green Party","Parti Vert","Moosonee, Ont.","Environmental Technician",938,3.09,,
35093,"Bob Rae","Liberal","Libéral","Toronto, Ont.","Lawyer",27462,53.53,18060,35.2
35093,"David Peter Gentili","Conservative","Conservateur","Toronto, Ont.","Political Staffer",9402,18.33,,
35093,"El- Farouk Khaki","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Toronto, Ont.","Lawyer",7743,15.09,,
35093,"Ellen Michelson","Green Party","Parti Vert","Toronto, Ont.","Educator, Writer",6081,11.85,,
35093,"Johan Boyden","Communist","Communiste","Toronto, Ont.","Organizer",193,0.38,,
35093,"Liz White","AAEV Party of Canada","AAEV Party of Canada","Toronto, Ont.","Animal Protection & Environmental Work",187,0.36,,
35093,"Gerald Derome","Independent","Indépendant","Toronto, Ont.","Unemployed",146,0.28,,
35093,"Philip Fernandez","Marxist-Leninist","Marxiste-Léniniste","Toronto, Ont.","Teacher",92,0.18,,
35094,"Jack Layton","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Toronto, Ont.","Parliamentarian",20323,44.78,6987,15.4
35094,"Andrew Lang","Liberal","Libéral","Toronto, Ont.","Communications Manager",13336,29.38,,
35094,"Sharon Howarth","Green Party","Parti Vert","Toronto, Ont.","Community Organizer",5995,13.21,,
35094,"Christina Perreault","Conservative","Conservateur","Toronto, Ont.","Coordinator, Government Relations",5287,11.65,,
35094,"Marie Crawford","AAEV Party of Canada","AAEV Party of Canada","Toronto, Ont.","Supervisor",175,0.39,,
35094,"John Richardson","Independent","Indépendant","Toronto, Ont.","Self-Employed Lawyer",130,0.29,,
35094,"Marcell Rodden","Marxist-Leninist","Marxiste-Léniniste","Toronto, Ont.","Worker",87,0.19,,
35094,"Bahman Yazdanfar","CAP","PAC","Toronto, Ont.","Buisness Manager,Consultant",54,0.12,,
35095,"Olivia Chow","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Toronto, Ont.","Parliamentarian",24454,40.84,3484,5.8
35095,"Christine Innes","Liberal","Libéral","Toronto, Ont.","Lawyer",20970,35.02,,
35095,"Christine McGirr","Conservative","Conservateur","Toronto, Ont.","Analyst",8249,13.78,,
35095,"Stephen La Frenie","Green Party","Parti Vert","Toronto, Ont.","Arts Educator",5418,9.05,,
35095,"Chester Brown","Libertarian","Libertarien","Toronto, Ont.","Cartoonist",491,0.82,,
35095,"Carlos Santos Almeida","Independent","Indépendant","Toronto, Ont.","Artist",164,0.27,,
35095,"Val Illie","Independent","Indépendant","Toronto, Ont.","Management Consultant",132,0.22,,
